symptoms,doctor_specialty
"blisters, dry skin, acne, itching, hives",Dermatologist
"fever, weakness, loss of consciousness",Neurologist
"cough, loss of appetite, fatigue, nausea",General Physician
"redness, hair loss, hives",Dermatologist
"blood in urine, dizziness, difficulty passing urine, burning urination, lower abdominal pain",Urologist
"reduced urine output, weight gain, high creatinine",Nephrologist
"fever, slurred speech, numbness",Neurologist
"headache, abdominal pain, constipation",Gastroenterologist
"coughing blood, shortness of breath, persistent cough",Pulmonologist
sore throat,ENT Specialist
"redness, hair loss, dry skin",Dermatologist
"blood in stool, weight gain",Gastroenterologist
"back pain, muscle weakness",Orthopedist
"nasal congestion, runny nose, headache, weight gain",ENT Specialist
"numbness, slurred speech",Neurologist
"headache, nausea, sore throat",General Physician
"chest pain, swelling of legs, sweating, fainting, shortness of breath",Cardiologist
"acne, skin rash",Dermatologist
"fainting, palpitations, sweating, chest pain, swelling of legs",Cardiologist
"chills, fatigue, runny nose",General Physician
"panic attacks, depressed mood, insomnia, fever, anxiety",Psychiatrist
"mild headache, chills, fever",General Physician
persistent cough,Pulmonologist
"weight gain, blood in urine",Nephrologist
"skin rash, persistent cough",Dermatologist
"radiating arm pain, sweating, chest pain",Cardiologist
"wheezing, shortness of breath",Pulmonologist
"runny nose, sore throat",General Physician
"body ache, fatigue",General Physician
"dizziness, slurred speech, headache",Neurologist
chills,General Physician
"cough, runny nose, body ache, headache",General Physician
"irregular periods, menstrual cramps, breast lump, muscle weakness",Gynecologist
"dizziness, headache, blood in stool",Neurologist
eye discharge,Ophthalmologist
"blood in urine, high creatinine, weight gain",Nephrologist
"runny nose, cold",General Physician
"chills, fatigue, cold",General Physician
"cold, body ache, sore throat, loss of appetite",General Physician
"chest pain, sweating, shortness of breath",Cardiologist
"redness, dry skin, hair loss, difficulty passing urine",Dermatologist
hair loss,Dermatologist
blood in urine,Urologist
"shortness of breath, persistent cough",Pulmonologist
"limited range of motion, back pain",Orthopedist
"mild headache, cough, chills",General Physician
"weight gain, ear pain",ENT Specialist
"heavy bleeding, breast lump, irregular periods, vaginal discharge",Gynecologist
"heartburn, blood in stool",Gastroenterologist
"body ache, runny nose",General Physician
"hoarseness, headache, fatigue, sore throat",ENT Specialist
"weight gain, heat intolerance",Endocrinologist
"redness, scaly patches, dry skin",Dermatologist
"sore throat, cough",General Physician
"pelvic pain, heavy bleeding",Gynecologist
vomiting,Gastroenterologist
"heavy bleeding, breast lump, menstrual cramps",Gynecologist
"chills, loss of appetite",General Physician
"dizziness, blood in urine",Urologist
"nasal congestion, ear pain, sore throat",ENT Specialist
"heat intolerance, excessive thirst",Endocrinologist
"sneezing, runny nose, swelling after exposure",Allergist/Immunologist
"cold, chills",General Physician
"excessive thirst, frequent urination",Endocrinologist
"reduced urine output, high creatinine, blood in urine, headache",Nephrologist
fatigue,General Physician
"weight gain, foamy urine",Nephrologist
"fever, sudden vision loss, red eye, watering eyes, floaters",Ophthalmologist
"foamy urine, blood in urine, reduced urine output",Nephrologist
"ear pain, nasal congestion, hearing loss",ENT Specialist
"chills, runny nose",General Physician
"swelling of feet, blood in urine",Nephrologist
"fatigue, fever",General Physician
"pelvic pain, irregular periods, painful periods, breast lump, vaginal discharge",Gynecologist
"acne, hives",Dermatologist
"eye discharge, fever, floaters, blood in urine",Ophthalmologist
"coughing blood, shortness of breath, recurrent lung infections",Pulmonologist
"headache, fever, mild headache, loss of appetite",General Physician
limited range of motion,Orthopedist
"runny nose, nasal congestion, fatigue, hoarseness, nausea",ENT Specialist
"nausea, mild headache, cough, menstrual cramps",General Physician
"nasal congestion, runny nose",ENT Specialist
"fatigue, fever, body ache, cough, nausea, numbness",General Physician
"chest pain, swelling of legs, shortness of breath",Cardiologist
"blood in urine, lower abdominal pain",Urologist
headache,ENT Specialist
"pelvic pain, breast lump",Gynecologist
"bloating, blood in stool, abdominal pain, constipation, diarrhea",Gastroenterologist
"loss of consciousness, memory loss, seizures",Neurologist
"heartburn, bloating",Gastroenterologist
"mild headache, fatigue, fever",General Physician
"numbness, weakness, memory loss",Neurologist
"dizziness, loss of consciousness, slurred speech",Neurologist
"body ache, cold, sore throat, runny nose",General Physician
"fever, blood in urine, difficulty passing urine",Urologist
"sore throat, cough, headache",General Physician
"weakness, headache, penile discharge",Neurologist
"fatigue, excessive thirst",Endocrinologist
"high blood pressure, chest pain, shortness of breath",Cardiologist
"heat intolerance, unexplained weight loss",Endocrinologist
depressed mood,Psychiatrist
"depressed mood, suicidal thoughts, fever",Psychiatrist
"numbness, headache",Neurologist
"seizures, memory loss",Neurologist
"cold, body ache, nausea",General Physician
"memory loss, loss of consciousness",Neurologist
"acne, hair loss, dry skin, weakness",Dermatologist
"weakness, fever",Neurologist
"nausea, diarrhea, weight gain",Gastroenterologist
"blisters, hair loss",Dermatologist
bone pain,Orthopedist
"headache, memory loss",Neurologist
"blisters, skin rash, hair loss, hives",Dermatologist
"frequent urination, fatigue, unexplained weight loss, heat intolerance",Endocrinologist
"body ache, chills",General Physician
"headache, nasal congestion, fatigue, hoarseness, weight gain",ENT Specialist
"skin rash, scaly patches, itching",Dermatologist
loss of appetite,General Physician
"eye discharge, eye pain",Ophthalmologist
"reduced urine output, swelling of feet",Nephrologist
"shortness of breath, sweating, high blood pressure, chest pain",Cardiologist
"red eye, eye pain, eye discharge",Ophthalmologist
"scaly patches, blisters",Dermatologist
"palpitations, sweating, fainting",Cardiologist
"mild headache, chills",General Physician
"weight gain, abdominal pain, blood in stool",Gastroenterologist
"high blood pressure, swelling of legs, chest pain, fainting, palpitations",Cardiologist
"penile discharge, dizziness",Urologist
"cold, headache, loss of appetite",General Physician
"loss of consciousness, memory loss, seizures",Neurologist
"sore throat, runny nose, hoarseness",ENT Specialist
"chills, cough",General Physician
"nausea, body ache, runny nose",General Physician
"hives, dry skin",Dermatologist
"hoarseness, ear pain",ENT Specialist
swelling after exposure,Allergist/Immunologist
"blood in urine, lower abdominal pain",Urologist
"palpitations, swelling of legs",Cardiologist
"body ache, sore throat, headache",General Physician
"blurred vision, watering eyes",Ophthalmologist
"cold intolerance, fatigue",Endocrinologist
"redness, scaly patches, dry skin, skin rash",Dermatologist
"blood in urine, fever, frequent urination",Urologist
heat intolerance,Endocrinologist
"body ache, loss of appetite",General Physician
"blurred vision, watering eyes",Ophthalmologist
"runny nose, itchy eyes",Allergist/Immunologist
"weight gain, heartburn, headache, nausea",Gastroenterologist
"headache, ear pain, tinnitus",ENT Specialist
"hoarseness, nasal congestion, hearing loss",ENT Specialist
"loss of consciousness, seizures",Neurologist
"chest pain, radiating arm pain, high blood pressure",Cardiologist
"mild headache, chills",General Physician
"nausea, heartburn, vomiting, fatigue",Gastroenterologist
"fever, fatigue, body ache, nausea",General Physician
"fever, watering eyes",Ophthalmologist
"bloating, vomiting, blood in stool, abdominal pain",Gastroenterologist
sweating,Cardiologist
"seizures, slurred speech, memory loss",Neurologist
"blisters, skin rash, itching, dry skin",Dermatologist
"fever, red eye, sudden vision loss",Ophthalmologist
"fainting, chest pain",Cardiologist
"cough, runny nose, body ache, headache, mild headache, weight gain",General Physician
"foamy urine, flank pain, high creatinine",Nephrologist
"penile discharge, fever",Urologist
"vomiting, blood in stool, bloating, weight gain",Gastroenterologist
"back pain, limited range of motion, stiffness, joint pain, swelling, dizziness",Orthopedist
"skin rash, hair loss",Dermatologist
"breast lump, heavy bleeding, painful periods",Gynecologist
"unexplained weight loss, heat intolerance, fatigue, weight gain, excessive thirst",Endocrinologist
"hearing loss, ear pain, sore throat, nasal congestion",ENT Specialist
"fever, weakness, headache, seizures",Neurologist
"fatigue, heat intolerance",Endocrinologist
"diarrhea, heartburn, vomiting",Gastroenterologist
bone pain,Orthopedist
"bloating, diarrhea, vomiting",Gastroenterologist
"difficulty passing urine, burning urination, lower abdominal pain, penile discharge",Urologist
"fatigue, wheezing",Allergist/Immunologist
"hives, blisters",Dermatologist
"nausea, cough",General Physician
"headache, fatigue, abdominal pain",ENT Specialist
"muscle weakness, stiffness, bone pain, back pain",Orthopedist
"fatigue, chills",General Physician
"swelling, limited range of motion, muscle weakness, joint pain, bone pain",Orthopedist
"chest pain, fainting, radiating arm pain",Cardiologist
"hives, wheezing, runny nose",Allergist/Immunologist
"chills, sore throat, cough, mild headache, cold",General Physician
irregular periods,Gynecologist
"frequent urination, difficulty passing urine, lower abdominal pain",Urologist
hair loss,Dermatologist
"frequent urination, heat intolerance",Endocrinologist
"swelling of feet, reduced urine output, high creatinine, flank pain",Nephrologist
"weight gain, hoarseness, nasal congestion",ENT Specialist
"menstrual cramps, breast lump, irregular periods, heavy bleeding, painful periods",Gynecologist
"itchy eyes, fatigue, hives, runny nose, swelling after exposure",Allergist/Immunologist
"wheezing, recurrent lung infections",Pulmonologist
"fever, cold, body ache, tinnitus",General Physician
"ear pain, runny nose, sore throat",ENT Specialist
"itchy eyes, runny nose, hives",Allergist/Immunologist
"stiffness, bone pain, limited range of motion",Orthopedist
breast lump,Gynecologist
headache,General Physician
eye pain,Ophthalmologist
dry skin,Dermatologist
"abdominal pain, diarrhea",Gastroenterologist
"dizziness, penile discharge, frequent urination",Urologist
"menstrual cramps, vaginal discharge, heavy bleeding, abdominal pain",Gynecologist
"fever, nausea, body ache",General Physician
"blood in urine, fever",Urologist
"fatigue, wheezing, swelling after exposure",Allergist/Immunologist
"bone pain, swelling, limited range of motion, joint pain",Orthopedist
"wheezing, weight gain, shortness of breath, coughing blood, chest tightness",Pulmonologist
"shortness of breath, high blood pressure",Cardiologist
"sore throat, cold, chills, fever",General Physician
"swelling of feet, high creatinine",Nephrologist
dizziness,Neurologist
"frequent urination, weight gain",Endocrinologist
"weight gain, ear pain, mild headache",ENT Specialist
"fever, frequent urination",Urologist
"nausea, headache",General Physician
"fever, fatigue",General Physician
"chills, sore throat, shortness of breath",General Physician
"insomnia, hallucinations, panic attacks",Psychiatrist
"fatigue, body ache",General Physician
"weight gain, runny nose, sore throat, hearing loss, hoarseness",ENT Specialist
"flank pain, foamy urine, swelling of feet, high creatinine, weakness",Nephrologist
"diarrhea, constipation, blood in stool",Gastroenterologist
"heartburn, weight gain, abdominal pain, blood in stool",Gastroenterologist
"itching, blisters, skin rash",Dermatologist
"hives, itching, scaly patches",Dermatologist
"loss of appetite, cough, headache",General Physician
"skin rash, itching, vaginal discharge",Dermatologist
"blood in urine, burning urination, frequent urination, lower abdominal pain",Urologist
"floaters, eye discharge, fever, fatigue",Ophthalmologist
"fever, seizures, slurred speech",Neurologist
"fever, runny nose, mild headache",General Physician
"weight gain, unexplained weight loss, cold intolerance",Endocrinologist
"headache, bloating",Gastroenterologist
"palpitations, sweating, radiating arm pain",Cardiologist
"muscle weakness, swelling, bone pain, limited range of motion",Orthopedist
"weight gain, coughing blood",Pulmonologist
"headache, hearing loss, nasal congestion",ENT Specialist
"loss of appetite, fever, nausea",General Physician
"weight gain, tinnitus, hearing loss, hoarseness",ENT Specialist
"body ache, nausea",General Physician
"mild headache, headache",General Physician
"back pain, bone pain, blood in stool",Orthopedist
palpitations,Cardiologist
"frequent urination, lower abdominal pain",Urologist
"high creatinine, flank pain",Nephrologist
"acne, itching",Dermatologist
"runny nose, fever, headache, cough",General Physician
"mood swings, fever, anxiety",Psychiatrist
"palpitations, sweating, high blood pressure, shortness of breath",Cardiologist
"nausea, fatigue, mild headache",General Physician
"radiating arm pain, fainting, palpitations",Cardiologist
"unexplained weight loss, fatigue",Endocrinologist
"sweating, radiating arm pain, high blood pressure",Cardiologist
"shortness of breath, radiating arm pain, high blood pressure",Cardiologist
"hair loss, skin rash",Dermatologist
"tinnitus, sore throat, weight gain",ENT Specialist
"weight gain, coughing blood, chest tightness",Pulmonologist
cough,General Physician
diarrhea,Gastroenterologist
"nausea, headache, tinnitus",Gastroenterologist
"hallucinations, fever",Psychiatrist
"shortness of breath, recurrent lung infections",Pulmonologist
"chest pain, high blood pressure, blurred vision",Cardiologist
"headache, body ache, chills",General Physician
"wheezing, sneezing, swelling after exposure, runny nose, itchy eyes",Allergist/Immunologist
"itchy eyes, wheezing, swelling after exposure",Allergist/Immunologist
"mild headache, nausea, sore throat",General Physician
"chills, headache, heartburn",General Physician
"dry skin, skin rash, redness",Dermatologist
"runny nose, sore throat, ear pain",ENT Specialist
"body ache, nausea, mild headache",General Physician
"chest tightness, persistent cough, recurrent lung infections",Pulmonologist
"scaly patches, dry skin, skin rash, acne",Dermatologist
sweating,Cardiologist
"frequent urination, fatigue",Endocrinologist
"mild headache, cough, sore throat",General Physician
"sore throat, fever, itchy eyes",General Physician
"radiating arm pain, chest pain",Cardiologist
"irregular periods, heavy bleeding, menstrual cramps",Gynecologist
"fever, eye discharge",Ophthalmologist
hair loss,Dermatologist
"sore throat, fever, loss of appetite",General Physician
"slurred speech, numbness, fever, loss of consciousness, weakness, skin rash",Neurologist
"weakness, loss of consciousness, memory loss",Neurologist
"swelling of legs, shortness of breath",Cardiologist
"hair loss, redness, itching, acne, scaly patches",Dermatologist
"acne, redness",Dermatologist
cold,General Physician
"lower abdominal pain, burning urination, blood in urine, fever",Urologist
"insomnia, depressed mood, panic attacks, fever",Psychiatrist
"nausea, headache",General Physician
"mood swings, depressed mood, anxiety",Psychiatrist
"burning urination, lower abdominal pain",Urologist
dry skin,Dermatologist
"heavy bleeding, irregular periods",Gynecologist
"fever, burning urination",Urologist
"joint pain, muscle weakness, bone pain, stiffness, limited range of motion",Orthopedist
"sudden vision loss, eye discharge",Ophthalmologist
"headache, nausea, fatigue",General Physician
"dizziness, fever",Urologist
"headache, runny nose",General Physician
"swelling of legs, shortness of breath",Cardiologist
"persistent cough, coughing blood",Pulmonologist
"palpitations, radiating arm pain, swelling of legs",Cardiologist
"vaginal discharge, painful periods",Gynecologist
"weakness, fever",Neurologist
"frequent urination, blood in urine, dizziness",Urologist
"swelling after exposure, sneezing, runny nose, fatigue, wheezing",Allergist/Immunologist
"fatigue, loss of appetite, headache",General Physician
"headache, nausea, vomiting",Gastroenterologist
"cold, fever, runny nose",General Physician
"cold, hoarseness",General Physician
"lower abdominal pain, burning urination",Urologist
bone pain,Orthopedist
"weight gain, excessive thirst, unexplained weight loss",Endocrinologist
"shortness of breath, chest pain",Cardiologist
"fainting, swelling of legs, palpitations",Cardiologist
"wheezing, coughing blood, recurrent lung infections",Pulmonologist
"chest tightness, recurrent lung infections, wheezing, weight gain, shortness of breath",Pulmonologist
"high blood pressure, palpitations",Cardiologist
"cold, headache, runny nose, body ache, fatigue",General Physician
"ear pain, fatigue, hoarseness",ENT Specialist
"runny nose, tinnitus, weight gain, hearing loss",ENT Specialist
"swelling of feet, high creatinine",Nephrologist
"loss of appetite, body ache, mild headache, fatigue, recurrent lung infections",General Physician
"headache, weight gain, nasal congestion, ear pain",ENT Specialist
"cough, runny nose, headache",General Physician
"runny nose, ear pain, sore throat, tinnitus",ENT Specialist
"fainting, high blood pressure, sweating, palpitations, swelling of legs",Cardiologist
"high blood pressure, chest pain, sweating, swelling of legs",Cardiologist
"fever, sudden vision loss, eye pain",Ophthalmologist
"reduced urine output, high creatinine",Nephrologist
"seizures, loss of consciousness",Neurologist
"bone pain, stiffness",Orthopedist
"sore throat, body ache, loss of appetite",General Physician
"scaly patches, hair loss, blisters",Dermatologist
"hoarseness, hearing loss",ENT Specialist
"redness, dry skin, blisters",Dermatologist
body ache,General Physician
"skin rash, dry skin, scaly patches",Dermatologist
"foamy urine, blood in urine",Nephrologist
"recurrent lung infections, chest tightness",Pulmonologist
"limited range of motion, swelling, joint pain",Orthopedist
"runny nose, swelling after exposure, sneezing",Allergist/Immunologist
chills,General Physician
"frequent urination, burning urination",Urologist
"hives, itching, hair loss, acne",Dermatologist
"seizures, slurred speech",Neurologist
"sore throat, mild headache, chills, body ache",General Physician
"sore throat, nausea",General Physician
blood in stool,Gastroenterologist
"diarrhea, blood in stool, heartburn",Gastroenterologist
"constipation, diarrhea, abdominal pain",Gastroenterologist
joint pain,Orthopedist
"chills, headache",General Physician
"loss of appetite, cold",General Physician
"ear pain, nasal congestion, fatigue",ENT Specialist
"chest tightness, persistent cough, wheezing, coughing blood, weight gain, high creatinine",Pulmonologist
"nausea, fever, cold, runny nose, sore throat",General Physician
"high blood pressure, sweating, chest pain",Cardiologist
"difficulty passing urine, blood in urine, frequent urination, burning urination",Urologist
"constipation, headache",Gastroenterologist
"itching, dry skin, acne",Dermatologist
"fatigue, sore throat",General Physician
"painful periods, pelvic pain, breast lump",Gynecologist
"fever, nausea, fatigue",General Physician
"hair loss, itching, skin rash",Dermatologist
"loss of appetite, cough, headache",General Physician
"pelvic pain, breast lump",Gynecologist
"pelvic pain, irregular periods, vaginal discharge, high blood pressure",Gynecologist
"chest pain, fainting",Cardiologist
"coughing blood, weight gain, chest tightness",Pulmonologist
"heat intolerance, breast lump",Endocrinologist
loss of appetite,General Physician
"nausea, cold, fever, sore throat, swelling after exposure",General Physician
"fatigue, weight gain",Endocrinologist
"mood swings, suicidal thoughts",Psychiatrist
"heartburn, diarrhea, weight gain",Gastroenterologist
"scaly patches, redness, itching",Dermatologist
"skin rash, hives, acne, blisters",Dermatologist
"heat intolerance, cold intolerance",Endocrinologist
"loss of consciousness, numbness",Neurologist
"excessive thirst, weight gain, cold intolerance",Endocrinologist
"chills, unexplained weight loss",General Physician
"vaginal discharge, heavy bleeding, breast lump, menstrual cramps, painful periods",Gynecologist
"menstrual cramps, painful periods",Gynecologist
"nausea, body ache",General Physician
"bloating, constipation",Gastroenterologist
"swelling after exposure, wheezing",Allergist/Immunologist
"coughing blood, chest tightness, persistent cough, recurrent lung infections",Pulmonologist
"nausea, cough, fatigue",General Physician
"persistent cough, chest tightness, recurrent lung infections, weight gain",Pulmonologist
"breast lump, menstrual cramps",Gynecologist
"mild headache, runny nose, fatigue, sore throat",General Physician
"cold intolerance, fatigue, weight gain",Endocrinologist
"breast lump, vaginal discharge, heavy bleeding, painful periods",Gynecologist
"shortness of breath, coughing blood",Pulmonologist
heartburn,Gastroenterologist
"swelling of legs, radiating arm pain, fainting",Cardiologist
"weight gain, blood in urine, foamy urine, recurrent lung infections",Nephrologist
"acne, hair loss, skin rash",Dermatologist
"penile discharge, burning urination, fever",Urologist
"abdominal pain, nausea, bloating, constipation",Gastroenterologist
"chills, sore throat, mild headache",General Physician
"excessive thirst, cold intolerance, heat intolerance",Endocrinologist
"fever, runny nose, cough",General Physician
"acne, dry skin, hair loss, hives",Dermatologist
"fever, lower abdominal pain",Urologist
"sudden vision loss, red eye, blurred vision, weight gain",Ophthalmologist
"palpitations, swelling of legs, sweating",Cardiologist
"hair loss, skin rash, itching, redness",Dermatologist
"weight gain, headache, nasal congestion",ENT Specialist
"sore throat, cough, runny nose, nausea, body ache",General Physician
"swelling of feet, flank pain",Nephrologist
"flank pain, reduced urine output, high creatinine, back pain",Nephrologist
"nausea, constipation",Gastroenterologist
"recurrent lung infections, shortness of breath",Pulmonologist
"shortness of breath, high blood pressure, sweating",Cardiologist
"fatigue, mild headache",General Physician
"vaginal discharge, painful periods",Gynecologist
"nausea, mild headache",General Physician
"loss of consciousness, numbness",Neurologist
"hearing loss, runny nose",ENT Specialist
"blisters, redness",Dermatologist
"acne, hair loss",Dermatologist
"runny nose, sneezing",Allergist/Immunologist
"blurred vision, floaters, bloating",Ophthalmologist
"pelvic pain, irregular periods",Gynecologist
"memory loss, headache, slurred speech",Neurologist
"back pain, joint pain, bone pain, stiffness",Orthopedist
"fatigue, headache, fever",General Physician
"vomiting, blood in stool, diarrhea",Gastroenterologist
"swelling after exposure, hives, runny nose",Allergist/Immunologist
"runny nose, ear pain, fatigue, chest tightness",ENT Specialist
"runny nose, hives, fatigue, sneezing, itchy eyes",Allergist/Immunologist
"cold intolerance, fatigue",Endocrinologist
"fever, runny nose, body ache",General Physician
"skin rash, blisters, itching",Dermatologist
"palpitations, sweating",Cardiologist
"sneezing, wheezing",Allergist/Immunologist
"dizziness, fever",Urologist
"body ache, fever",General Physician
"hives, wheezing, fatigue",Allergist/Immunologist
"runny nose, hives",Allergist/Immunologist
"cold intolerance, excessive thirst, weight gain",Endocrinologist
"scaly patches, hives, blisters",Dermatologist
"shortness of breath, high blood pressure, chest pain",Cardiologist
"headache, fever",Neurologist
"fever, loss of appetite, mild headache, headache",General Physician
"nausea, abdominal pain, headache, constipation, blood in stool",Gastroenterologist
"sweating, chest pain, shortness of breath",Cardiologist
"mild headache, cough, chills",General Physician
"irregular periods, vaginal discharge",Gynecologist
"abdominal pain, weight gain, body ache",Gastroenterologist
"hives, itchy eyes",Allergist/Immunologist
"loss of appetite, nausea, sore throat, cough",General Physician
"fatigue, body ache",General Physician
"excessive thirst, weight gain",Endocrinologist
"vaginal discharge, constipation",Gynecologist
"loss of appetite, runny nose, sore throat, nausea, chest pain",General Physician
"blurred vision, eye discharge",Ophthalmologist
persistent cough,Pulmonologist
"joint pain, stiffness, limited range of motion, bone pain",Orthopedist
"fatigue, chills, mood swings",General Physician
"watering eyes, floaters",Ophthalmologist
"body ache, cough, runny nose, fatigue, chills",General Physician
"headache, weight gain, ear pain",ENT Specialist
"weight gain, hoarseness",ENT Specialist
"fatigue, cough",General Physician
"fatigue, heat intolerance, frequent urination, unexplained weight loss",Endocrinologist
nasal congestion,ENT Specialist
"shortness of breath, recurrent lung infections",Pulmonologist
"sudden vision loss, fever, watering eyes",Ophthalmologist
"stiffness, swelling, muscle weakness",Orthopedist
"wheezing, itchy eyes, sneezing, swelling after exposure",Allergist/Immunologist
"headache, cold",General Physician
"acne, redness, hair loss, itching, skin rash",Dermatologist
"back pain, swelling",Orthopedist
"heavy bleeding, pelvic pain, vaginal discharge",Gynecologist
"headache, mild headache",General Physician
"sudden vision loss, eye pain, watering eyes",Ophthalmologist
"mild headache, nausea, runny nose",General Physician
"acne, blisters, itching",Dermatologist
"muscle weakness, bone pain",Orthopedist
"fatigue, body ache, sore throat, mild headache",General Physician
"chest tightness, weight gain, persistent cough",Pulmonologist
"chest tightness, wheezing",Pulmonologist
"muscle weakness, bone pain",Orthopedist
"weight gain, coughing blood, wheezing, heat intolerance",Pulmonologist
"constipation, vomiting, heartburn",Gastroenterologist
"hair loss, dry skin, scaly patches",Dermatologist
"nausea, runny nose",General Physician
"pelvic pain, runny nose",Gynecologist
"runny nose, sneezing",Allergist/Immunologist
"vomiting, nausea, constipation, blood in stool",Gastroenterologist
"coughing blood, recurrent lung infections, chest tightness",Pulmonologist
"cough, chills, sore throat",General Physician
blood in stool,Gastroenterologist
"limited range of motion, bone pain, swelling, muscle weakness",Orthopedist
"cough, body ache, runny nose",General Physician
"headache, memory loss, weakness",Neurologist
"hair loss, blisters",Dermatologist
"diarrhea, weight gain, heartburn, memory loss",Gastroenterologist
scaly patches,Dermatologist
"redness, itching, acne",Dermatologist
red eye,Ophthalmologist
recurrent lung infections,Pulmonologist
"frequent urination, fatigue",Endocrinologist
"tinnitus, runny nose",ENT Specialist
"unexplained weight loss, cold intolerance, fatigue",Endocrinologist
"joint pain, limited range of motion",Orthopedist
"nausea, blood in stool, sneezing",Gastroenterologist
"chest pain, swelling of legs",Cardiologist
joint pain,Orthopedist
"recurrent lung infections, chest tightness",Pulmonologist
"headache, weakness",Neurologist
"blisters, dry skin, redness, ear pain",Dermatologist
"hives, redness",Dermatologist
headache,Neurologist
"nausea, bloating, diarrhea, blood in stool",Gastroenterologist
"swelling after exposure, hives, sneezing, wheezing",Allergist/Immunologist
"swelling of legs, shortness of breath, chest pain, eye pain",Cardiologist
"nausea, constipation, vomiting, abdominal pain",Gastroenterologist
"runny nose, nasal congestion",ENT Specialist
"memory loss, dizziness, slurred speech, seizures",Neurologist
"body ache, cold, sore throat",General Physician
"loss of appetite, fever, mild headache, headache, difficulty passing urine",General Physician
"swelling, muscle weakness",Orthopedist
"fatigue, runny nose",Allergist/Immunologist
"shortness of breath, fainting, sweating, swelling of legs",Cardiologist
"wheezing, shortness of breath, chest tightness, recurrent lung infections",Pulmonologist
"nausea, sore throat, loss of appetite",General Physician
"abdominal pain, nausea",Gastroenterologist
"sore throat, cold, cough",General Physician
"joint pain, bone pain, back pain",Orthopedist
"coughing blood, persistent cough, weight gain",Pulmonologist
"skin rash, dry skin, redness, itching, blisters",Dermatologist
"vomiting, bloating",Gastroenterologist
"fever, difficulty passing urine, frequent urination",Urologist
"headache, bloating, nausea",Gastroenterologist
back pain,Orthopedist
"sudden vision loss, eye discharge, floaters",Ophthalmologist
"blood in urine, flank pain, high creatinine",Nephrologist
"vaginal discharge, painful periods",Gynecologist
"cough, chills",General Physician
"nausea, fatigue, sore throat",General Physician
"weakness, loss of consciousness",Neurologist
"mild headache, cough, fatigue, runny nose, chills",General Physician
"fever, blood in urine, penile discharge, floaters",Urologist
"hearing loss, nasal congestion, tinnitus, weight gain",ENT Specialist
"weight gain, hoarseness",ENT Specialist
"headache, numbness, loss of consciousness",Neurologist
"bone pain, swelling, back pain, limited range of motion, joint pain, excessive thirst",Orthopedist
"itching, redness, skin rash",Dermatologist
"fever, difficulty passing urine",Urologist
"coughing blood, persistent cough",Pulmonologist
"heat intolerance, cold intolerance",Endocrinologist
"ear pain, tinnitus, runny nose",ENT Specialist
"diarrhea, weight gain",Gastroenterologist
"suicidal thoughts, hallucinations, mood swings, insomnia",Psychiatrist
"eye pain, fever, red eye, watering eyes",Ophthalmologist
"limited range of motion, back pain, joint pain, stiffness",Orthopedist
"coughing blood, wheezing, sweating",Pulmonologist
"heartburn, nausea, constipation",Gastroenterologist
"red eye, eye discharge, watering eyes",Ophthalmologist
"sweating, radiating arm pain",Cardiologist
"runny nose, nausea, loss of appetite",General Physician
"dry skin, hair loss, acne",Dermatologist
"nausea, vomiting, diarrhea",Gastroenterologist
"constipation, heartburn",Gastroenterologist
"hives, dry skin",Dermatologist
"fatigue, fever",General Physician
"tinnitus, headache",ENT Specialist
"irregular periods, pelvic pain",Gynecologist
"depressed mood, hallucinations",Psychiatrist
sore throat,General Physician
"burning urination, fever, difficulty passing urine, panic attacks",Urologist
"headache, seizures, numbness",Neurologist
"weakness, seizures, numbness, dizziness",Neurologist
"bloating, vomiting",Gastroenterologist
"pelvic pain, vaginal discharge, mood swings",Gynecologist
insomnia,Psychiatrist
"fatigue, itchy eyes",Allergist/Immunologist
"loss of appetite, fatigue",General Physician
bone pain,Orthopedist
"breast lump, irregular periods, pelvic pain",Gynecologist
"runny nose, mild headache",General Physician
"mild headache, chills",General Physician
nausea,General Physician
weight gain,Endocrinologist
"fever, fatigue, body ache",General Physician
"irregular periods, breast lump",Gynecologist
"mild headache, loss of appetite, sore throat, frequent urination",General Physician
"swelling after exposure, wheezing, itchy eyes",Allergist/Immunologist
"muscle weakness, limited range of motion, joint pain, back pain, swelling",Orthopedist
"sore throat, fatigue",General Physician
"sore throat, nasal congestion, runny nose",ENT Specialist
"wheezing, swelling after exposure, sneezing, heavy bleeding",Allergist/Immunologist
"stiffness, bone pain",Orthopedist
"itchy eyes, fatigue, wheezing, swelling after exposure",Allergist/Immunologist
"chills, sore throat, runny nose, fever, mild headache",General Physician
"fainting, chest pain, high blood pressure, shortness of breath, sweating, frequent urination",Cardiologist
"cold, runny nose, fever",General Physician
"abdominal pain, vomiting",Gastroenterologist
"burning urination, penile discharge",Urologist
"heartburn, headache, diarrhea",Gastroenterologist
"radiating arm pain, sweating, fainting",Cardiologist
"cold, headache",General Physician
"sore throat, chills, fatigue, suicidal thoughts",General Physician
"headache, vomiting, sneezing",Gastroenterologist
"abdominal pain, diarrhea, nausea",Gastroenterologist
"eye pain, blurred vision, floaters, heat intolerance",Ophthalmologist
headache,General Physician
wheezing,Allergist/Immunologist
"fever, numbness, seizures",Neurologist
"runny nose, hearing loss",ENT Specialist
body ache,General Physician
"weight gain, excessive thirst, frequent urination",Endocrinologist
